stop_name,nb_metro,nb_rer,line,Name
REUILLY-DIDEROT,2,0,8,reuillydiderot
REUILLY-DIDEROT,2,0,1,reuillydiderot
LOUVRE-RIVOLI,1,0,1,louvrerivoli
LES MILONS,0,0,,lesmilons
LYCEE HENRI SELLIER,0,0,,lyceehenrisellier
PARMENTIER,1,0,3,parmentier
HAVRE-CAUMARTIN,2,0,9,havrecaumartin
HAVRE-CAUMARTIN,2,0,3,havrecaumartin
EUROPE,1,0,3,europe
CITE,1,0,,cite
VAVIN,1,0,4,vavin
BOBIGNY-PANTIN (RAYMOND QUENEAU),1,0,5,bobignypantinraymondqueneau
HOCHE,1,0,5,hoche
JACQUES BONSERGENT,1,0,5,jacquesbonsergent
QUAI DE LA RAPEE,1,0,,quaidelarapee
JUVISY,0,2,,juvisy
ASNIERES,0,0,,asnieres
BRIMBORION,0,0,,brimborion
CIMETIERE DE SAINT-DENIS,0,0,,cimetieredesaintdenis
FRANKLIN-D.ROOSEVELT,2,0,,franklindroosevelt
STRASBOURG-SAINT-DENIS,3,0,9,strasbourgsaintdenis
STRASBOURG-SAINT-DENIS,3,0,8,strasbourgsaintdenis
STRASBOURG-SAINT-DENIS,3,0,4,strasbourgsaintdenis
SAINT-AMBROISE,1,0,9,saintambroise
VOLTAIRE (LEON BLUM),1,0,,voltaireleonblum
CHARONNE,1,0,9,charonne
MICHEL-ANGE-AUTEUIL,2,0,9,michelangeauteuil
MICHEL-ANGE-AUTEUIL,2,0,10,michelangeauteuil
CHARDON-LAGACHE,1,0,10,chardonlagache
AVENUE EMILE ZOLA,1,0,10,avenueemilezola
SEVRES-BABYLONE,2,0,,sevresbabylone
CLUNY-LA-SORBONNE,1,0,10,clunylasorbonne
MAUBERT-MUTUALITE,1,0,,maubertmutualite
TELEGRAPHE,1,0,,telegraphe
MAIRIE DE CLICHY,1,0,13,mairiedeclichy
MALAKOFF-RUE ÉTIENNE DOLET,1,0,13,malakoffrueetiennedolet
VARENNE,1,0,13,varenne
PORTE DE SAINT-OUEN,1,0,13,portedesaintouen
CARREFOUR PLEYEL,1,0,13,carrefourpleyel
BUTTES-CHAUMONT,1,0,7b,butteschaumont
JAURES,3,0,,jaures
EMERAINVILLE-PONTAULT-COMBAULT,0,1,,emerainvillepontaultcombault
VILLIERS-MONTBARBIN,0,0,,villiersmontbarbin
VERNEUIL-L'ETANG,0,0,,verneuilletang
CORVISART,1,0,6,corvisart
DUPLEIX,1,0,6,dupleix
BIR-HAKEIM (GRENELLE),1,0,6,birhakeimgrenelle
PASSY,1,0,6,passy
FORT D'AUBERVILLIERS,1,0,7,fortdaubervilliers
POISSONNIERE,1,0,,poissonniere
CADET,1,0,7,cadet
CENSIER-DAUBENTON,1,0,7,censierdaubenton
LES GOBELINS,1,0,7,lesgobelins
TOLBIAC,1,0,7,tolbiac
LE KREMLIN-BICETRE,1,0,,lekremlinbicetre
ECOLE MILITAIRE,1,0,8,ecolemilitaire
LA TOUR MAUBOURG,1,0,8,latourmaubourg
MICHEL BIZOT,1,0,8,michelbizot
CRETEIL-L'ECHAT (HOPITAL MONDOR),1,0,,creteillechathopitalmondor
JASMIN,1,0,9,jasmin
SAINT-MARTIN-D'ETAMPES,0,1,,saintmartindetampes
DOURDAN,0,1,,dourdan
ESSONNES-ROBINSON,0,1,,essonnesrobinson
MENNECY,0,1,,mennecy
LA FERTE-ALAIS,0,1,,lafertealais
VAL D'ARGENTEUIL,0,0,,valdargenteuil
CHATOU-CROISSY,0,1,A,chatoucroissy
GAZERAN,0,0,,gazeran
MAURECOURT,0,0,,maurecourt
ARGENTEUIL,0,0,,argenteuil
SAINT-GRATIEN,0,1,,saintgratien
HERBLAY,0,0,,herblay
ERMONT-HALTE,0,0,,ermonthalte
ENGHIEN-LES-BAINS,0,0,,enghienlesbains
GROSLAY,0,0,,groslay
TRAPPES,0,0,,trappes
COIGNIERES,0,0,,coignieres
VILLEPREUX-LES-CLAYES,0,0,,villepreuxlesclayes
MAREIL-SUR-MAULDRE,0,0,,mareilsurmauldre
LE VESINET-LE PECQ,0,1,,levesinetlepecq
LONGUEVILLE,0,0,,longueville
COMBS-LA-VILLE-QUINCY,0,1,,combslavillequincy
VOSVES,0,1,,vosves
CESSON,0,1,,cesson
CHARTRETTES,0,0,,chartrettes
BOIS-LE-ROI,0,0,,boisleroi
SAINT-MAMMES,0,0,,saintmammes
NEMOURS-SAINT-PIERRE,0,0,,nemourssaintpierre
MARLY-LE-ROI,0,0,,marlyleroi
BOUGIVAL,0,0,,bougival
VIROFLAY RD,0,0,,viroflayrd
SAINTE-GENEVIEVE-DES-BOIS,0,1,,saintegenevievedesbois
SAINT-MICHEL-SUR-ORGE,0,1,,saintmichelsurorge
GRAVIGNY-BALIZY,0,1,,gravignybalizy
PALAISEAU-VILLEBON,0,1,B,palaiseauvillebon
LOZERE,0,1,,lozere
MONTGERON-CROSNE,0,1,,montgeroncrosne
BOURAY,0,1,,bouray
BOISSY-SAINT-LEGER,0,1,,boissysaintleger
BRY-SUR-MARNE,0,1,A,brysurmarne
LE VERT-DE-MAISONS,0,1,,levertdemaisons
GARCHES-MARNES-LA-COQUETTE,0,0,,garchesmarneslacoquette
RUEIL-MALMAISON,0,1,A,rueilmalmaison
BECON-LES-BRUYERES,0,0,,beconlesbruyeres
BOIS-COLOMBES,0,0,,boiscolombes
CLICHY-LEVALLOIS,0,0,,clichylevallois
VILLIERS-SUR-MARNE-PLESSIS-TREVISE,0,1,,villierssurmarneplessistrevise
NOISY-LE-GRAND-MONT D'EST,0,1,A,noisylegrandmontdest
NOISY-CHAMPS,0,1,A,noisychamps
SUCY-BONNEUIL,0,1,A,sucybonneuil
CHAMPBENOIST-POIGNY,0,0,,champbenoistpoigny
BUSSY-SAINT-GEORGES,0,1,A,bussysaintgeorges
MALESHERBES,0,1,3,malesherbes
SAINT-GERMAIN-BEL-AIR-FOURQUEUX,0,0,,saintgermainbelairfourqueux
FUNICULAIRE MONTMARTRE STATION HAUTE,0,0,,funiculairemontmartrestationhaute
SAINT-PIAT,0,0,,saintpiat
JOUY,0,0,,jouy
VOVES,0,0,,voves
BONNEVAL,0,0,,bonneval
CHAMPIGNY-SUR-YONNE,0,0,,champignysuryonne
PARIS-BERCY,0,0,,parisbercy
DREUX,0,0,,dreux
ECOUEN-EZANVILLE,0,0,,ecouenezanville
VALMONDOIS,0,0,,valmondois
CHAPONVAL,0,0,,chaponval
BELLEVUE,0,0,,bellevue
FONTENAY-AUX-ROSES,0,1,B,fontenayauxroses
ARCUEIL-CACHAN,0,1,B,arcueilcachan
CHATELET-LES HALLES,0,3,,chateletleshalles
AVENUE DU PRESIDENT KENNEDY,0,1,,avenuedupresidentkennedy
SUZANNE VALADON,0,0,,suzannevaladon
PETIT PIERREFITTE,0,0,,petitpierrefitte
GUYNEMER,0,0,,guynemer
SAARINEN,0,0,,saarinen
ROBERT SCHUMAN,0,0,,robertschuman
COEUR D'ORLY,0,0,,coeurdorly
MOULIN VERT,0,0,,moulinvert
BRETAGNE,0,0,,bretagne
CREIL,0,1,,creil
PRECY-SUR-OISE,0,0,,precysuroise
LIANCOURT-SAINT-PIERRE,0,0,,liancourtsaintpierre
ORMOY-VILLERS,0,0,,ormoyvillers
NANTEUIL-LE-HAUDOUIN,0,0,,nanteuillehaudouin
NOGENT-L'ARTAUD-CHARLY,0,0,,nogentlartaudcharly
PABLO NERUDA,0,0,,pabloneruda
LES BEATUS,0,0,,lesbeatus
DELAUNAY-BELLEVILLE,0,0,,delaunaybelleville
