Geo Point;Geo Shape;OBJECTID;id_ref_zdl;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.8473545169,2.38680844578;"{""type"": ""Point"", ""coordinates"": [2.386808445777995, 48.84735451689955]}";4;44637;REUILLY-DIDEROT;Reuilly-Diderot;A01534 / A01541;C01371 / C01378;M1 / M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;655000.3096;6860986.9672
48.8608062913,2.34110859163;"{""type"": ""Point"", ""coordinates"": [2.341108591634066, 48.8608062912721]}";7;44645;LOUVRE-RIVOLI;Louvre-Rivoli;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651659.1352;6862509.6962
48.8498504878,2.22123268327;"{""type"": ""Point"", ""coordinates"": [2.221232683266963, 48.849850487849125]}";31;51611;LES MILONS;Les Milons;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;642852.4519;6861371.59
48.9160965041,2.51506144619;"{""type"": ""Point"", ""coordinates"": [2.515061446192153, 48.91609650409271]}";35;411280;LYCEE HENRI SELLIER;Lycée Henri Sellier;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;664459.0975;6868565.3172
48.8652537861,2.37458197;"{""type"": ""Point"", ""coordinates"": [2.374581969996412, 48.86525378605432]}";58;58725;PARMENTIER;Parmentier;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654118.8397;6862984.2509
48.8738067339,2.32699985888;"{""type"": ""Point"", ""coordinates"": [2.326999858880872, 48.873806733862544]}";64;58718;HAVRE-CAUMARTIN;Havre-Caumartin;A01536 / A01542;;M3 / M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650636.3658;6863963.9719
48.8787703685,2.32226521312;"{""type"": ""Point"", ""coordinates"": [2.322265213118895, 48.878770368486826]}";65;42972;EUROPE;Europe;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650293.8318;6864518.8631
48.8549363802,2.34732131841;"{""type"": ""Point"", ""coordinates"": [2.347321318407715, 48.854936380164666]}";80;42640;CITE;Cité;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652109.5387;6861853.2274
48.8422184136,2.32900892624;"{""type"": ""Point"", ""coordinates"": [2.329008926235402, 48.842218413613516]}";85;44997;VAVIN;Vavin;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650753.8774;6860450.3764
48.8954546731,2.42532689153;"{""type"": ""Point"", ""coordinates"": [2.425326891530144, 48.89545467305925]}";89;42344;BOBIGNY-PANTIN (RAYMOND QUENEAU);Bobigny-Pantin - Raymond Queneau;A01538;C01375;M5;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;657865.8991;6866314.133
