,name,type,what,date
0,e trafic est perturbé de Luxembourg vers St-Remy / Robinson (malaise voyageur),unscheduled,public_transport.incident.passenger,2016-06-20
1,e trafic est perturbé de St-Michel N.-D. vers St-Remy / Robinson (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-06-21
2,e trafic est perturbé sur la ligne (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-06-21
3,a rame stationne à Bourg-la-Reine en dir. de St-Remy / Robinson (malaise voyageur),unscheduled,public_transport.incident.passenger,2016-06-21
4,e trafic est perturbé sur la ligne (malaise voyageur),unscheduled,public_transport.incident.passenger,2016-06-21
5,e trafic est interrompu entre Port Royal et Chatelet-Les Halles (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
6,e trafic est interrompu entre Port Royal et Chatelet-Les Halles. Reprise estimée à 08:00. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
7,e trafic est interrompu entre Denfert et Chatelet-Les Halles. Reprise estimée à 08:00. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
8,e trafic est perturbé sur la ligne. Reprise estimée à 08:00. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
9,e trafic est perturbé sur la ligne (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
10,'arrêt n'est pas marqué à Chatelet-Les Halles en dir. de St-Remy / Robinson (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
11,e trafic est interrompu entre Chatelet-Les Halles et Luxembourg (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
12,e trafic est interrompu entre Chatelet-Les Halles et Luxembourg. Reprise estimée à 21:30. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-22
13,e trafic est interrompu entre Aulnay et Aeroport Charles de Gaulle 2 TGV (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
14,e trafic reprend progressivement (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
15,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
16,e trafic reprend progressivement (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
17,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
18,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
19,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
20,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
21,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
22,a rame stationne à Chatelet-Les Halles en dir. de St-Remy / Robinson (incident voyageur),unscheduled,public_transport.incident.passenger,2016-06-23
23,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-06-23
24,e trafic est interrompu entre Fontenay-aux-R. et Robinson (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-24
25,e trafic est perturbé de Le Bourget vers St-Remy / Robinson (voyageur sur la voie),unscheduled,public_transport.incident.pedestrian,2016-06-24
26,e trafic est perturbé sur la ligne (incident d'exploitation),unscheduled,public_transport.incident,2016-06-25
27,e trafic est perturbé de Le Guichet vers Aeroport Charles de Gaulle 2 TGV (malaise voyageur),unscheduled,public_transport.incident.passenger,2016-06-27
28,e trafic est perturbé de Le Guichet vers Aeroport CdG 2 / Mitry - Claye (malaise voyageur),unscheduled,public_transport.incident.passenger,2016-06-27
29,e trafic est perturbé de Gentilly vers St-Remy / Robinson (panne de signalisation),unscheduled,public_transport.incident.breakdown,2016-06-27
30,e trafic est perturbé sur la ligne (panne de signalisation),unscheduled,public_transport.incident.breakdown,2016-06-27
31,e trafic est interrompu entre Gare du Nord et Aeroport CdG 2 / Mitry - Claye (déclenchement d'un signal d'alarme),unscheduled,public_transport.incident.alarm,2016-06-27
32,e trafic est interrompu entre Gare du Nord et Aeroport CdG 2 / Mitry - Claye (déclenchement d'un signal d'alarme),unscheduled,public_transport.incident.alarm,2016-06-27
33,e trafic est perturbé sur la ligne (déclenchement d'un signal d'alarme),unscheduled,public_transport.incident.alarm,2016-06-27
34,e trafic est perturbé sur la ligne (panne de signalisation),unscheduled,public_transport.incident.breakdown,2016-06-28
35,e trafic est perturbé sur la ligne (panne de signalisation),unscheduled,public_transport.incident.breakdown,2016-06-28
36,e trafic est interrompu entre Gare du Nord et Port Royal (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-29
37,e trafic est perturbé sur la ligne (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-06-29
38,e trafic est interrompu entre Fontenay-aux-R. et Robinson (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-02
39,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
40,e trafic est perturbé sur la ligne. Reprise estimée à 21:30. (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
41,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
42,e trafic est interrompu entre Aeroport Charles de Gaulle 1 et Aeroport Charles de Gaulle 2 TGV (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-04
43,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
44,e trafic est interrompu entre Fontenay-aux-R. et Robinson (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-04
45,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
46,e trafic est perturbé sur la ligne (mesure de sécurité),unscheduled,public_transport.incident.safety,2016-07-04
47,e trafic est perturbé sur la ligne (incident technique),unscheduled,public_transport.incident.smoke,2016-07-05
48,e trafic est perturbé entre Plaine stade de F. et Courneuve-Aub. (incident technique),unscheduled,public_transport.incident.smoke,2016-07-05
49,e trafic est perturbé sur la ligne (incident technique),unscheduled,public_transport.incident.smoke,2016-07-05
50,e trafic est interrompu entre Chatelet-Les Halles et Gare du Nord (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-07-05
51,e trafic est perturbé entre Plaine stade de F. et Courneuve-Aub. (incident technique),unscheduled,public_transport.incident.smoke,2016-07-05
52,e trafic est interrompu entre Chatelet-Les Halles et Gare du Nord (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-07-05
53,e trafic reprend progressivement entre Chatelet-Les Halles et Gare du Nord (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-07-05
54,e trafic est ralenti sur la ligne (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-07-05
55,e trafic est perturbé sur la ligne (panne de matériel),unscheduled,public_transport.incident.breakdown,2016-07-05
56,e trafic est perturbé sur la ligne (incident d'exploitation),unscheduled,public_transport.incident,2016-07-06
57,e trafic est interrompu entre Aulnay et Mitry-Claye (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-06
58,e trafic est interrompu entre Aulnay et Mitry-Claye navette de remplacement à dispo. (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-06
59,'arrêt n'est pas marqué à Sevran Livry (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-06
60,'arrêt n'est pas marqué à Sevran Livry (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-06
61,e trafic est perturbé de Aeroport CdG 2 / Mitry - Claye vers St-Remy / Robinson (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-06
62,e trafic est interrompu entre Gare du Nord et St-Michel N.-D. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-06
63,e trafic est perturbé entre Gare du Nord et St-Michel N.-D. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-06
64,e trafic est perturbé sur la ligne (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-06
65,e trafic est perturbé sur la ligne (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-13
66,e trafic est interrompu entre Chatelet-Les Halles et Plaine stade de F. (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-14
67,e trafic est perturbé sur la ligne (colis suspect),unscheduled,public_transport.incident.unattended_luggage,2016-07-14
68,a rame stationne à Bourg-la-Reine en dir. de Robinson (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
69,e trafic est interrompu entre Bagneux et Robinson (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
70,e trafic est interrompu entre Bourg-la-Reine et Robinson (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
71,e trafic est interrompu entre Bourg-la-Reine et Robinson. Reprise estimée à 13:00. (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
72,e trafic reprend progressivement entre Bourg-la-Reine et Robinson (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
73,e trafic est perturbé sur la ligne (accident grave de voyageur),unscheduled,public_transport.accident.suicide,2016-07-16
74,e trafic est ralenti de Gare du Nord vers Aeroport CdG 2 / Mitry - Claye (panne de signalisation),unscheduled,public_transport.incident.breakdown,2016-07-18
75,e trafic est perturbé sur la ligne (divers incidents),unscheduled,public_transport.incident,2016-07-18
76,e trafic est perturbé sur la ligne (incident technique),unscheduled,public_transport.incident.smoke,2016-07-19
77,e trafic est interrompu entre Gare du Nord et Aeroport CdG 2 / Mitry - Claye (incident technique),unscheduled,public_transport.incident.smoke,2016-07-19
78,e trafic est interrompu entre Chatelet-Les Halles et Le Bourget (incident technique),unscheduled,public_transport.incident.smoke,2016-07-19
